Jahr;Jan;Feb;Mrz;Apr;Mai;Jun;Jul;Aug;Sep;Okt;Nov;Dez
1968;9.0;6.0;7.0;5.0;4.0;5.0;8.0;6.0;8.0;9.0;6.0;8.0
1969;;9.0;6.0;5.0;7.0;4.0;;;;;;
1970;;;;;12.0;10.0;10.0;7.0;6.0;9.0;4.0;14.0
1971;16.0;;10.0;4.0;4.0;10.0;10.0;9.0;6.0;5.0;7.0;7.0
1972;14.0;4.0;8.0;5.0;10.0;16.0;11.0;4.0;8.0;13.0;10.0;5.0
1973;15.0;8.0;7.0;12.0;7.0;10.0;14.0;8.0;9.0;7.0;4.0;7.0
1974;9.0;7.0;;;;;5.0;;2.0;;;
1975;5.0;6.0;;;;;5.0;12.0;9.0;3.0;8.0;4.0
1976;11.0;3.0;12.0;6.0;7.0;5.0;9.0;10.0;8.0;7.0;;
1977;;;;6.0;7.0;10.0;17.0;9.0;5.0;9.0;9.0;9.0
1978;;;;;2.0;12.0;10.0;6.0;7.0;10.0;8.0;5.0
1979;3.0;12.0;6.0;8.0;4.0;2.0;9.0;12.0;8.0;9.0;6.0;8.0
1980;2.0;5.0;8.0;9.0;10.0;9.0;15.0;5.0;7.0;12.0;13.0;8.0
1981;14.0;14.0;2.0;8.0;5.0;12.0;8.0;4.0;13.0;3.0;5.0;8.0
1982;4.0;16.0;4.0;4.0;10.0;14.0;13.0;10.0;11.0;;8.0;7.0
1983;6.0;9.0;4.0;8.0;13.0;11.0;15.0;7.0;4.0;7.0;10.0;4.0
1984;15.0;14.0;10.0;10.0;15.0;15.0;11.0;8.0;9.0;8.0;8.0;4.0
1985;5.0;14.0;10.0;9.0;11.0;6.0;9.0;16.0;13.0;4.0;4.0;6.0
1986;9.0;9.0;12.0;14.0;9.0;11.0;9.0;9.0;10.0;10.0;14.0;
1987;11.0;;;11.0;7.0;8.0;13.0;8.0;7.0;7.0;8.0;9.0
1988;;;2.0;4.0;3.0;7.0;3.0;5.0;9.0;;;
1989;;;;;2.0;3.0;7.0;6.0;8.0;3.0;5.0;8.0
1990;4.0;;;;;;;;;;;

